CVE_ENT,delito,resolucion,ubicacion,productos_servicios,detalles_adicionales
24,NO REALIZ UNA ADECUADA DEFENSA JURDICA,NO REALIZ UNA ADECUADA DEFENSA JURDICA, SAN LUIS POTOS,NO REALIZ UNA ADECUADA DEFENSA JURDICA,NO REALIZ UNA ADECUADA DEFENSA JURDICA
9,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.,NO LOS PRECISAN.
21, A TTULO DOLOSO, SENTENCIA DE AMPARO.," PUEBLA,", SERVIDOR PBLICO," PRECEPTOS 9, PRRAFO PRIMERO Y 13, FRACCIN III,"
11,DUPLICIDAD DE CARGOS PUBLICOS,DUPLICIDAD DE CARGOS PUBLICOS,"
AUTORIDAD SANCIONADORA: SALVATIERRA."," EMPLEO, CARGO O COMISIN PBLICO,",DUPLICIDAD DE CARGOS PUBLICOS
13, ALS NORMAS SEALAN PARA TALES EFECTOS., INDEBIDA Y ARBITRARIA," PACHUCA DE SOTO, HIDALGO.", LA INDEBIDA Y ARBITRARIA CREACION, TODOS LOS EFECTOS LEGALES
13,OMITIO,OMITIO PRESENTAR EN TIEMPO, ESTADO DE HIDALGO, DECLARACION PATRIMONIAL, DECLARACION PATRIMONIAL
12,"
ES RESPONSABLE POR OMISIN", INHABILITACIN POR DIEZ AOS., ESTADO DE GUERRERO., HACIENDA, POR CONCEPTO DE DEUDORES DIVERSOS
21, OMITI, OMITI COMPROBAR," PUEBLA,", HOSPITAL INTEGRAL DE TULCINGO DE VALLE,"
DESCRIPCIN DE LOS HECHOS:"
9," PROVOCABA FALLAS EN LOS CFEMATICOS,"," $546,396.50."," CFEMATICOS,"," CAJEROS AUTOMTICOS,"," DOLOSAMENTE PROVOCABA FALLAS EN LOS CFEMATICOS,"
9,SOLICITO, DINERO,SOLICITO, ENERGIA ELECTRICA, TRAMITES
13,NO REALIZAR EN TIEMPO SU DECLARACION,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO,NO REALIZAR EN TIEMPO SU DECLARACION,NO REALIZAR EN TIEMPO SU DECLARACION
14,OMISIN,OMISIN, JALISCO.," DECLARACIN PATRIMONIAL DE CONCLUSIN DEL ENCARGO,"," DECLARACIN PATRIMONIAL DE CONCLUSIN DEL ENCARGO,"
26,"
DEPENDENCIA:ADMINISTRACION PUBLICA MUNICIPAL","
DEPENDENCIA:ADMINISTRACION PUBLICA MUNICIPAL", SONORA.,"
DEPENDENCIA:ADMINISTRACION PUBLICA MUNICIPAL","
DEPENDENCIA:ADMINISTRACION PUBLICA MUNICIPAL"
